Bangladesh medical journal,Bangladesh Med J
AWHONN's clinical issues in perinatal and women's health nursing,AWHONNS Clin Issues Perinat Womens Health Nurs
Christian bioethics,Christ Bioeth
British journal of clinical practice. Supplement,Br J Clin Pract Suppl
"Vie medicale (Paris, France : 1920)",Vie Med
New West,New West
Separation science and technology,Sep Sci Technol
Newsletter. American Epilepsy League,Newsl Am Epilepsy Leag
Medical Section proceedings : the ... annual Meeting of the Medical Section of the American Council of Life Insurance. American Council of Life Insurance. Medical Section. Meeting,Med Sect Proc
Print quarterly,Print Q
International journal of geographical information science,Int J Geogr Inf Sci
Gazette medicale limousine,Gaz Med Limousine (1908)
Bulletin des etudes Valeryennes,Bull Etud Valeryennes
Mitteilungen der osterreichischen Sanitatsverwaltung,Mitt Osterr Sanitatsverwalt
Zdravookhranenie Belorussii,Zdravookhr Beloruss
The American journal of social psychiatry,Am J Soc Psychiatry
Pathologie-biologie,Pathol Biol (Paris)
Estomatologia e cultura,Estomatol Cult
West's north eastern reporter,Wests North East Rep
The Journal of libertarian studies,J Libert Stud
The OALMA journal,Oalma J
Aging clinical and experimental research,Aging Clin Exp Res
AIDS-Forschung : AIFO = Acquired immune deficiency syndrome research,AIDS Forsch
Review of social economy,Rev Soc Econ
Revue belge de stomatologie. Belgisch tijdschrift voor stomatologie,Rev Belge Stomatol
DLR-Nachrichten : Mitteilungsblatt der Deutschen Forschungsanstalt fur Luft- und Raumfahrt,DLR Nachr
Boletim da Sociedade de Geografia de Lisboa,Bol Soc Geogr Lisb
Chronic respiratory disease,Chron Respir Dis
Archives of drug information,Arch Drug Inf
Current bioinformatics,Curr Bioinform
Roentgen-Europ; radiodiagnostic clinique europeen,Rontgeneur Radiodiagn Clin Eur
Human ecology,Hum Ecol
Acta reproductiva Turcica,Acta Reprod Turc
Cellular and molecular biology,Cell Mol Biol (Noisy-le-grand)
Phi Kappa Phi journal,Phi Kappa Phi J
National Negro health news,Natl Negro Health News
African affairs,Afr Aff (Lond)
Interventional neuroradiology,Interv Neuroradiol
BMC neurology,BMC Neurol
"JONA'S healthcare law, ethics and regulation",JONAS Healthc Law Ethics Regul
The Academic nurse : the journal of the Columbia University School of Nursing,Acad Nurse
Cell biology reviews : CBR,Cell Biol Rev
Zeitschrift fur den Erdkundeunterricht,Z Erdkundeunterr
Herpes : the journal of the IHMF,Herpes
MHQ : the quarterly journal of military history,MHQ (NY NY)
Gastrointestinal endoscopy,Gastrointest Endosc
Oriens extremus,Oriens Extremus
Canadian journal of rural medicine,Can J Rural Med
Revista Kuba de medicina tropical y parasitologia,Rev Kuba Med Trop Parasitol
L' Infirmiere haitienne,Infirm Haiti
Journal of theology for Southern Africa,J Theol South Afr
Home care economics,Home Care Econ
"Proceedings, annual meeting - New Jersey Mosquito Extermination Association",Proc Annu Meet N J Mosqu Exterm Assoc
Proceedings of the British Academy,Proc Br Acad
Journal of physics D: Applied physics,J Phys D Appl Phys
The British journal of criminology,Br J Criminol
Centerpoint,Centerpoint
Population reports. Series C: Sterilization [Female],Popul Rep C
Journal of community psychology,J Community Psychol
Natural product letters,Nat Prod Lett
Parkinsonism \& related disorders,Parkinsonism Relat Disord
The Quarterly journal of experimental psychology,Q J Exp Psychol
"Boletin editorial / El Colegio de Mexico, Departamento de Publicaciones",Bol Ed Col Mex
Circulation research,Circ Res
Medicina et pharmacologia experimentalis. International journal of experimental medicine,Med Pharmacol Exp Int J Exp Med
Nephron,Nephron
Revue internationale du froid / Institut international du froid = International journal of refrigeration / International Institute of Refrigeration,Int J Refrig
The Canadian dental hygienist,Can Dent Hyg
Anesthesia progress,Anesth Prog
Italy; documents and notes,Italy Doc Notes
The Harvard theological review,Harv Theol Rev
"Boletin ... Agrupacion Medica de Estudios, La Paz",Bol Agrup Medica Estud La Paz
BMC medical ethics,BMC Med Ethics
Central European journal of public health,Cent Eur J Public Health
Polymers,Polymers (Basel)
Parodontopathies,Parodontopathies
"Boletin epidemiologico de Chile / Republica de Chile, Ministerio de Salud",Bol Epidemiol Chile
Vascular cell,Vasc Cell
Endocrinologia y nutricion : organo de la Sociedad Espanola de Endocrinologia y Nutricion,Endocrinol Nutr
Plant systematics and evolution = Entwicklungsgeschichte und Systematik der Pflanzen,Plant Syst Evol
Official bulletin. American Hospital Association,Off Bull Am Hosp Assoc
Advances in steroid biochemistry and pharmacology,Adv Steroid Biochem Pharmacol
Kansai Daigaku keizai ronshu,Kansai Daigaku Keizai Ronshu
Issue brief (Center for Studying Health System Change),Issue Brief Cent Stud Health Syst Change
Indian journal of urology : IJU : journal of the Urological Society of India,Indian J Urol
The Journal of the Dental Association of South Africa = Die Tydskrif van die Tandheelkundige Vereniging van Suid-Afrika,J Dent Assoc S Afr
St. Luke's Hospital staff clinics bulletin,St. Lukes Hosp Staff Clin Bull
The OECD observer. Organisation for Economic Co-operation and Development,OECD Obs
Journal - Oklahoma State Dental Association,J Okla State Dent Assoc
France Medecine,Fr Med
Health estate journal : journal of the Institute of Hospital Engineering,Health Estate J
Revista de la Asociacion Odontologica Argentina,Rev Asoc Odontol Argent
Mie medical journal,Mie Med J
AIDS illustrated,AIDS Illus
Contributions to gynecology and obstetrics,Contrib Gynecol Obstet
Pakistan journal of medical sciences quarterly,Pak J Med Sci Q
"Vital \& health statistics. Series 14, Data from the national inventory of family planning services",Vital Health Stat 14
"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",Indian J Crit Care Med
Nowe drogi,Nowe Drogi
Journal of animal science,J Anim Sci
Healthcare financial management : journal of the Healthcare Financial Management Association,Healthc Financ Manage
"Population reports. Series E, Law and policy",Popul Rep E
Ethnic forum : bulletin of ethnic studies and ethnic bibliography,Ethn Forum
"Enfance; psychologie, pedagogie, neuropsychiatrie, sociologie",Enfance
Proceedings / IEEE Symposium on Visual Analytics Science and Technology. IEEE Symposium on Visual Analytics Science and Technology,Proc IEEE Symp Vis Anal Sci Technol
Journal of materials chemistry,J Mater Chem
Signal transduction,Signal Transduct
Harvard heart letter : from Harvard Medical School,Harv Heart Lett
Journal of medical devices,J Med Device
Advances in space research : the official journal of the Committee on Space Research (COSPAR),Adv Space Res
Tidskrift for Sveriges sjukskoterskor,Tidskr Sver Sjukskot
Mother and child,Mother Child
German medicine,Ger Med
"Journal of veterinary medicine. A, Physiology, pathology, clinical medicine",J Vet Med A Physiol Pathol Clin Med
Computers \& graphics,Comput Graph
Implant dentistry,Implant Dent
Air University review (United States edition),Air Univ Rev (US ed)
Osterreichische Zahnarzts-Zeitung; Mitteilungen der Bundesfachgruppe fur Zahnheilkunde der Osterreichischen Arztekammer,Osterr Zahnarzteztg
Revue francaise de psychanalyse,Rev Fr Psychanal
"Agriculture, ecosystems \& environment",Agric Ecosyst Environ
"Bulletin de la Societe archeologique, historique, litteraire \& scientifique du Gers. Societe archeologique, historique, litteraire et scientifique du Gers",Bull Soc Archeol Hist Litt Sci Gers
Inter-Nord,Inter Nord
"Revista de medicina, cancerologia",Rev Med Cancerol
"Prevention in counseling psychology : theory, research, practice and training",Prev Couns Psychol
Convulsive therapy,Convuls Ther
Health communication,Health Commun
Deutsche tierarztliche Wochenschrift,Dtsch Tierarztl Wochenschr
Molecular toxicology,Mol Toxicol
Revista latino-americana de enfermagem,Rev Lat Am Enfermagem
Medical gynaecology and sociology,Med Gynaecol Sociol
Indian journal of endocrinology and metabolism,Indian J Endocrinol Metab
Jahrbuch des Historischen Vereins fur das Furstentum Liechtenstein. Historischer Verein fur das Furstentum Liechtenstein,Jahrb Hist Ver Furst Liechtenstein
Minerva cardioangiologica,Minerva Cardioangiol
Journal of hospital marketing \& public relations,J Hosp Mark Public Relations
Journal of materials science letters,J Mater Sci Lett
Psychological science in the public interest,Psychol Sci Public Interest
Advances in insect physiology,Adv In Insect Phys
The Clinical journal,Clin J
Pediatrie,Pediatrie
Pediatria,Pediatria (Santiago)
Revista IBYS,Rev Ibys
"Bacteriologia, virusologia, parazitologia, epidemiologia",Bacteriol Virusol Parazitol Epidemiol (Bucur)
University of Tasmania law review,Univ Tasman Law Rev
Veterinary and comparative oncology,Vet Comp Oncol
Arbeiten aus dem Paul-Ehrlich-Institut (Bundesamt fur Sera und Impfstoffe) zu Frankfurt a.M,Arb Paul Ehrlich Inst Bundesamt Sera Impfstoffe Frankf A M
Perinatologia y reproduccion humana / INPer,Perinatol Reprod Hum
L'Annee endocrinologique,Annee Endocrinol
Narodonaselenie,Narodonaselenie
Translational stroke research,Transl Stroke Res
Asian-Pacific economic literature,Asia Pac Econ Lit
Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses,Medsurg Nurs
Wirtschaft und Statistik,Wirtsch Stat
Conferences lyonnaises d'ophtalmologie,Conf Lyon Ophtalmol
The Moccasin,Moccasin
Symposium series (Society for Applied Microbiology),Symp Ser Soc Appl Microbiol
EuroHaptics ... : proceedings. EuroHaptics,Eurohaptics
Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia,Proc Finn Dent Soc
Journal of the Indian Academy of Dentistry,J Indian Acad Dent
Qualitative report (Online),Qual Rep
Women's health update,Womens Health Update
Revue d'economie du developpement,Rev Econ Dev
Christian nurse international,Christ Nurse Int
"Revista de la Facultad de Medicina, Universidad Nacional Autonoma de Mexico",Rev Fac Med Univ Nac Auton Mex
Anticancer research,Anticancer Res
"Educational researcher (Washington, D.C. : 1972)",Educ Res
Naunyn-Schmiedeberg's archives of pharmacology,Naunyn Schmiedebergs Arch Pharmacol
Katunob,Katunob
U. S. pharmacist,US Pharm
Ecology,Ecology
Nature reviews. Clinical oncology,Nat Rev Clin Oncol
Developmental medicine and child neurology,Dev Med Child Neurol
Remote sensing letters (Print),Remote Sens Lett
The Journal of organic chemistry,J Org Chem
[Ke xue tong bao] [Science bulletin],Ko Hsueh Tung Pao
Rig,Rig
Arizona medicine,Ariz Med
Evidence-based complementary and alternative medicine : eCAM,Evid Based Complement Alternat Med
Zeitschrift fur romanische Philologie,Z Rom Philol
HealthSpan,Healthspan
Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,J Ren Nutr
IEEE security \& privacy,IEEE Secur Priv
International journal of adolescence and youth,Int J Adolesc Youth
Integrative psychiatry : IP,Integr Psychiatry
MSMR,MSMR
Journal of the history of biology,J Hist Biol
The Round table,Round Table
"WASA ... : International Conference on Wireless Algorithms, Systems, and Applications : proceedings. WASA",WASA
Hepatology research : the official journal of the Japan Society of Hepatology,Hepatol Res
Memoires. Academie de chirurgie (France),Mem Acad Chir (Paris)
West's revised code of Washington annotated. Washington (State),Wests Revis Code Wash Annot Wash State
Microfluidics and nanofluidics,Microfluid Nanofluidics
International journal of chronobiology,Int J Chronobiol
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J Thorac Oncol
Wissenschaftliche Zeitschrift der Wilhelm-Pieck-Universitat Rostock. Gesellschafts- und sprachwissenschaftliche Reihe,Wiss Z Wilhelm Pieck Univ Rostock Ges Sprachwiss
Anales. Sociedad Mexicana de Oftalmologia y Oto-rino-laringologia,An Soc Mex Oftalmol Otorinolaringol
HNO,HNO
BIRPERHT publication,BIRPERHT Publ
History of geo- and space sciences,Hist Geo Space Sci
Smart structures and systems,Smart Struct Syst
Frontiers in ecology and the environment,Front Ecol Environ
Disaster medicine and public health preparedness,Disaster Med Public Health Prep
Problemas del desarrollo,Probl Desarro
"Journal of molecular medicine (Berlin, Germany)",J Mol Med (Berl)
AIDS/STD health promotion exchange,AIDS STD Health Promot Exch
Clinical oncology,Clin Oncol
Newsletter (International Academy of Periodontology),Newsl Int Acad Periodontol
Journal of hypertension. Supplement : official journal of the International Society of Hypertension,J Hypertens Suppl
Acta oto-rino-laringologica ibero-americana,Acta Otorinolaryngol Iber Am
Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,Zhonghua Wei Chang Wai Ke Za Zhi
Journal belge de medecine physique. Belgisch tijdschrift voor fysische geneeskunde,J Belge Med Phys
Monde medical,Monde Med
Home healthcare nurse,Home Healthc Nurse
Dermatologica,Dermatologica
Nursing news,Nurs News (Meriden)
SAR and QSAR in environmental research,SAR QSAR Environ Res
"Health bulletin. Kern Co., Calif. Dept. of Public Health",Health Bull
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J Clin Oncol
Revista de la Asociacion Bioquimica Argentina. Asociacion Bioquimica Argentina,Rev Asoc Bioquim Argent
Actualites hepato-gastro-enterologiques,Actual Hepatogastroenterol (Paris)
Zoologica; scientific contributions of the New York Zoological Society,Zool Sci Contrib N Y Zool Soc
Progress pediatric study. American Academy of Pediatrics. Committee for the Study of Child Health Services,Prog Pediat Study
"International Journal Of Radiation Applications And Instrumentation. Part D, Nuclear Tracks And Radiation Measurements",Int J Rad Appl Instrum D
Mathematics and computers in simulation,Math Comput Simul
Pediatric surgery international,Pediatr Surg Int
American journal of cancer research,Am J Cancer Res
Journal of educational evaluation for health professions,J Educ Eval Health Prof
Neurotoxins,Neurotoxins
Fundamental and applied toxicology : official journal of the Society of Toxicology,Fundam Appl Toxicol
Journal of European studies,J Eur Stud
The Journal of clinical pharmacology and the journal of new drugs,J Clin Pharmacol J New Drugs
Balisage series on markup technologies,Balisage Ser Markup Technol
Maclean's,Macleans
Flintknappers' exchange,Flintknappers Exch
The Register of the Kentucky Historical Society,Regist Ky Hist Soc
Mikrochemie,Mikrochemie
Revista geografica del Instituto Panamericano de Geografia e Historia,Rev Geogr Inst Panam Geogr Hist
Neurologia medico-chirurgica,Neurol Med Chir (Tokyo)
Erziehung und Unterricht; osterreichische padagogische Zeitschrift,Erzieh Unterr
"Family matters (Melbourne, Vic.)",Fam Matters
Chemica scripta,Chem Scr
Complicated Cardiac Patient,Complicat Card Patient
In vivo,In Vivo
Albrecht von Graefe's Archiv fur Ophthalmologie,Albrecht Von Graefes Arch Ophthalmol
Archives de medecine generale et tropicale,Arch Med Gen Trop
"Zeitschrift fur Naturforschung. Teil C: Biochemie, Biophysik, Biologie, Virologie",Z Naturforsch C
Odontoiatria; revista ibero-americana de medicina de la boca,Odontoiatr Rev Iberoam Med Boca
"Women in medicine; official quarterly of American medical women's association, inc",Women Med
"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",Zh Mikrobiol Epidemiol Immunobiol
Code of Federal regulations. 45: Public welfare,Code Fed Regul Public Welfare
Latomus,Latomus
Current opinion in HIV and AIDS,Curr Opin HIV AIDS
Bulletin. Chicago Medical Society,Bull Chic Med Soc
Ocean \& coastal management,Ocean Coast Manag
Journal of the Louisiana Dental Association,J La Dent Assoc
Medicinal chemistry research : an international journal for rapid communications on design and mechanisms of action of biologically active agents,Med Chem Res
Acta Societatis Medicorum Upsaliensis. Supplementum,Acta Soc Med Ups Suppl
Psychiatrike = Psychiatriki,Psychiatrike
"Nachrichtenblatt. Deutsche Gesellschaft fur Geschichte der Medizin, der Naturwissenschaften und der Technik",Nachrichtenbl Dtsch Ges Gesch Med Naturwiss Tech
The Journal of the American College of Dentists,J Am Coll Dent
"Voprosy istorii KPSS (Moscow, Russia)",Vopr Istor KPSS
African alternatives / Africa Operations Research and Technical Assistance Project,Afr Alternat
Slavery \& abolition,Slavery Abol
Hippocampus,Hippocampus
Shi da xue bao,Shi Da Xue Bao
Journal of behavioral assessment,J Behav Assess
Gaceta CONASIDA / Consejo Nacional para la Prevencion y Control del SIDA,Gac CONASIDA
Cirugia ortopedica y traumatologia,Cir Ortop Traumatol
"Proceedings of the staff meetings. Pethah-Tiqva, Israel. Beilinson Hospital",Proc Staff Meet Pethah Tiqva Isr Beilinson Hosp
Acta anaesthesiologica Scandinavica,Acta Anaesthesiol Scand
Kiso shinrigaku kenkyu,Jpn J Psychon Sci
The gifted child quarterly,Gift Child Q
Biopharmaceutics \& drug disposition,Biopharm Drug Dispos
Sangre,Sangre (Barc)
"Nutrition (Burbank, Los Angeles County, Calif.)",Nutrition
Acta vitaminologica et enzymologica,Acta Vitaminol Enzymol
CEX [reports]; civil effects exercise. U.S. Atomic Energy Commission,CEX Rep Civ Eff Exerc
Capital nursing,Cap Nurs
Current problems in pediatrics,Curr Probl Pediatr
Japanese journal of infectious diseases,Jpn J Infect Dis
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,East Mediterr Health J
OR tech,OR Tech
Bibliothek und Wissenschaft,Bibl Wiss
Cutis; cutaneous medicine for the practitioner,Cutis
Australian journal of midwifery : professional journal of the Australian College of Midwives Incorporated,Aust J Midwifery
Journal of autism and childhood schizophrenia,J Autism Child Schizophr
Clays and clay minerals,Clays Clay Miner
Revista centroamericana de economia,Rev Centroam Econ
International journal of critical illness and injury science,Int J Crit Illn Inj Sci
Pathogenesis : the journal of mechanisms in disease processes,Pathogenesis (Amst)
Aerospace engineering (Society of Automotive Engineers),Aerosp Eng
Cognitive and behavioral practice,Cogn Behav Pract
Current signal transduction therapy,Curr Signal Transduct Ther
Zeitschrift fur Biologie,Z Biol
AACN clinical issues in critical care nursing,AACN Clin Issues Crit Care Nurs
Mycology,
Journal of multidisciplinary healthcare,J Multidiscip Healthc
"Soins. Gynecologie, obstetrique, puericulture",Soins Gynecol Obstet Pueric
Integrated blood pressure control,Integr Blood Press Control
Analytical methods : advancing methods and applications,Anal Methods
Interferon,Interferon
Journal of telemedicine and telecare,J Telemed Telecare
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,Nihon Yakurigaku Zasshi
The University of Chicago law review. University of Chicago. Law School,Univ Chic Law Rev
Inverse problems and imaging,Inverse Probl Imaging (Springfield)
"Archives internationales de neurologie, des maladies hereditaires, de medecine mentale et psychosomatique",Arch Int Neurol
Medisch maandblad,Med Maandbl
Die Erde; Zeitschrift der Gesellschaft fur Erdkunde zu Berlin,Erde
Clinics in rheumatic diseases,Clin Rheum Dis
Thrombosis research. Supplement,Thromb Res Suppl
Evidence report/technology assessment,Evid Rep Technol Assess (Full Rep)
Revue des travaux de l'Academie des sciences morales et politiques et comptes rendus de ses seances,Rev Trav Acad Sci Morales Polit C R Seances
Drug discovery today. Biosilico,Drug Discov Today Biosilico
The Medical journal of Malaya,Med J Malaya
Engineering and science,Eng Sci
Current neurology and neuroscience reports,Curr Neurol Neurosci Rep
Journal of computational and theoretical nanoscience,J Comput Theor Nanosci
The European journal of prosthodontics and restorative dentistry,Eur J Prosthodont Restor Dent
Journal of plant nutrition,J Plant Nutr
Laboratory phonology,Lab Phonol
VASA. Zeitschrift fur Gefasskrankheiten. Journal for vascular diseases,Vasa
Judicature,Judicature
Journal de medecine legale droit medical,J Med Leg Droit Med
Journal of the American Statistical Association,J Am Stat Assoc
Canadian journal of surgery,Can J Surg
Crime and social justice,Crime Soc Justice
CSH protocols,CSH Protoc
Loma Linda University Dentist Magazine,Loma Linda Univ Dent Mag
Journal of flow chemistry,J Flow Chem
The New Zealand journal of history,N Z J Hist
Medical education online,Med Educ Online
Journal of HIV AIDS surveillance \& epidemiology,J HIV AIDS Surveill Epidemiol
Medinfo. MEDINFO,Medinfo
Warasan wichai witthayasat kanphaet = Thai journal of health research,Warasan Wichai Witthayasat Kanphaet
The Victorian newsletter,Vic Newsl
Journal of alloys and compounds,J Alloys Compd
Rutgers law journal,Rutgers Law J
Orphanet journal of rare diseases,Orphanet J Rare Dis
Curity research notes,Curity Res Notes
The International journal of applied radiation and isotopes,Int J Appl Radiat Isot
Archives de psychologie,Arch Psychol (Geneve)
Forensic science international,Forensic Sci Int
Fish pathology,Fish Pathol
"Medicine and health, Rhode Island",Med Health R I
Religious humanism,Relig Humanism
Medicine and law,Med Law
Indian journal of hematology \& blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,Indian J Hematol Blood Transfus
Wei sheng wu xue bao = Acta microbiologica Sinica,Wei Sheng Wu Xue Bao
The American journal of sociology,Am J Sociol
Journal of the Arnold Arboretum. Arnold Arboretum,J Arnold Arbor
Irish geography : bulletin of the Geographical Society of Ireland,Ir Geogr
Farmacoterapia,Farmacoterapia
Medical libraries,Med Lib
International journal for quality in health care : journal of the International Society for Quality in Health Care / ISQua,Int J Qual Health Care
The Archivist,Archivist
North western reporter. Second series,North West Rep Second Ser
Theological studies,Theol Stud
International journal of neuropsychiatry,Int J Neuropsychiatry
Journal of plastic surgery and hand surgery,J Plast Surg Hand Surg
Experimental pathology,Exp Pathol
Journal of psychiatric nursing,J Psychiatr Nurs
Patient care management,Patient Care Manag
The journal of nursing research : JNR,J Nurs Res
Beitrage zur Hygiene und Epidemiologie,Beitr Hyg Epidemiol
Revista de odontologia da UNESP / Universidade Estadual Paulista (UNESP),Rev Odontol UNESP
"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",Z Evid Fortbild Qual Gesundhwes
Hexagon Roche,Hexagon Roche Engl
Psiquis,Psiquis (Mexico)
Action contre le SIDA,Action Contre SIDA
AIP advances,AIP Adv
Health care dimensions,Health Care Dimen
Journal of automated methods \& management in chemistry,J Autom Methods Manag Chem
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology,Gynecol Endocrinol
Essence,Essence (Downsview)
MH,MH
Journal of religion \& spirituality in social work,J Relig Spiritual Soc Work
"Stress (Amsterdam, Netherlands)",Stress
Statistical methods \& applications,Stat Methods Appt
Current opinion in pediatrics,Curr Opin Pediatr
Clinical medicine insights. Case reports,Clin Med Insights Case Rep
Studies in history,Stud Hist (Sahibabad)
Clinical lymphoma \& myeloma,Clin Lymphoma Myeloma
NCP bulletin / Nutrition Center of the Philippines,NCP Bull
Giornale italiano di medicina del lavoro ed ergonomia,G Ital Med Lav Ergon
Journal of Indian Society of Periodontology,J Indian Soc Periodontol
Zeitschrift fur Psychologie mit Zeitschrift fur angewandte Psychologie,Z Psychol Z Angew Psychol
"Compendium (Newtown, Pa.)",Compendium
The Bulletin of the atomic scientists,Bull At Sci
AFOSR TR. United States. Air Force. Office of Scientific Research,AFOSR TR United States Air Force Off Sci Res
AIP conference proceedings,AIP Conf Proc
Lege artis medicinae : uj magyar orvosi hirmondo,Lege Artis Med
Harvard law review,Harv Law Rev
Lasers in surgery and medicine,Lasers Surg Med
Journal of vaccines \& vaccination,J Vaccines Vaccin
Proceedings of the Academy of Political Science,Proc Acad Polit Sci
"Recent developments in alcoholism : an official publication of the American Medical Society on Alcoholism, the Research Society on Alcoholism, and the National Council on Alcoholism",Recent Dev Alcohol
Midwifery today with international midwife,Midwifery Today Int Midwife
Endocrine-related cancer,Endocr Relat Cancer
"Bulletin - Institute for Medical Research, Kuala Lumpur",Bull Inst Med Res Kuala Lumpur
Rivista di storia della medicina,Riv Stor Med
Acta orthopaedica et traumatologica turcica,Acta Orthop Traumatol Turc
Zbornik. Vojnomedicinska akademija (Yugoslavia),Zb Vojnomed Akad
Colorado quarterly,Colo Q
Tsetse and trypanosomiasis information quarterly,Tsetse Trypanos Inf Q
The Journal of the Royal Faculty of Medicine of Iraq,J R Fac Med Iraq
West's Wisconsin statutes annotated / under arrangement of the official Wisconsin statutes. Wisconsin,Wests Wis Statut Annot Wis
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",Cell Physiol Biochem
The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,J Histochem Cytochem
Berichte zur deutschen Landeskunde,Ber Dtsch Landeskd
Zahnarzteblatt Baden-Wurttemberg,Zahnarztebl Baden Wurttemb
International journal of anesthesia,Int J Anesth
Radiological physics and technology,Radiol Phys Technol
Qing shi yan jiu = Qingshi yanjiu,Qing Shi Yan Jiu
Weekly abstract of sanitary reports. United States. Marine Hospital Service,Wkly Abstr Sanit Rep
Criminal justice and behavior,Crim Justice Behav
Regional immunology,Reg Immunol
Revista brasileira de malariologia e doencas tropicais. Publicacoes avulsas,Rev Bras Malariol Doencas Trop
The Medical journal of Australia,Med J Aust
Sapienza,Sapienza
Media development,Media Dev
Clinical hemorheology and microcirculation,Clin Hemorheol Microcirc
Mains'l haul / Maritime Museum Association of San Diego,Mainsl Haul
"Sensors and actuators. B, Chemical",Sens Actuators B Chem
WASH [reports]. U.S. Atomic Energy Commission,WASH Rep
Problemes economiques,Probl Econ
Sarcoidosis,Sarcoidosis
"Archivos de bioquimica, quimica y farmacia, Tucuman",Arch Bioquim Quim Farm Tucuman
